FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Afghanistan,8/16/20 4:27,33.93911,67.709953,37551,1370,27166,9015,Afghanistan,96.46185539,3.648371548
,,,Albania,8/16/20 4:27,41.1533,20.1683,7260,225,3746,3289,Albania,252.2760442,3.099173554
,,,Algeria,8/16/20 4:27,28.0339,1.6596,38133,1360,26644,10129,Algeria,86.96030332,3.566464742
,,,Andorra,8/16/20 4:27,42.5063,1.5218,989,53,863,73,Andorra,1280.010354,5.358948433
,,,Angola,8/16/20 4:27,-11.2027,17.8739,1879,86,628,1165,Angola,5.717107887,4.576902608
,,,Antigua and Barbuda,8/16/20 4:27,17.0608,-61.7964,93,3,83,7,Antigua and Barbuda,94.96773139,3.225806452
,,,Argentina,8/16/20 4:27,-38.4161,-63.6167,289100,5637,205697,77766,Argentina,639.661533,1.949844345
,,,Armenia,8/16/20 4:27,40.0691,45.0382,41495,817,34484,6194,Armenia,1400.328155,1.968911917
,,Australian Capital Territory,Australia,8/16/20 4:27,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.39570194,2.654867257
,,New South Wales,Australia,8/16/20 4:27,-33.8688,151.2093,3950,52,2994,904,"New South Wales, Australia",48.65730475,1.316455696
,,Northern Territory,Australia,8/16/20 4:27,-12.4634,130.8456,33,0,31,2,"Northern Territory, Australia",13.43648208,0
,,Queensland,Australia,8/16/20 4:27,-27.4698,153.0251,1091,6,1079,6,"Queensland, Australia",21.32733848,0.54995417
,,South Australia,Australia,8/16/20 4:27,-34.9285,138.6007,460,4,449,7,"South Australia, Australia",26.18844293,0.869565217
,,Tasmania,Australia,8/16/20 4:27,-42.8821,147.3272,230,13,216,1,"Tasmania, Australia",42.95051354,5.652173913
,,Victoria,Australia,8/16/20 4:27,-37.8136,144.9631,16764,309,8121,8334,"Victoria, Australia",252.8544925,1.843235505
,,Western Australia,Australia,8/16/20 4:27,-31.9505,115.8605,646,9,633,4,"Western Australia, Australia",24.55713525,1.393188854
,,,Austria,8/16/20 4:27,47.5162,14.5501,23179,728,20627,1824,Austria,257.3614319,3.140773976
,,,Azerbaijan,8/16/20 4:27,40.1431,47.5769,34107,506,31697,1904,Azerbaijan,336.3883156,1.483566423
,,,Bahamas,8/16/20 4:27,25.025885,-78.035889,1252,17,160,1075,Bahamas,318.3741557,1.357827476
,,,Bahrain,8/16/20 4:27,26.0275,50.55,46430,170,42806,3454,Bahrain,2728.635629,0.36614258
,,,Bangladesh,8/16/20 4:27,23.685,90.3563,274525,3625,157635,113265,Bangladesh,166.6925912,1.320462617
,,,Barbados,8/16/20 4:27,13.1939,-59.5432,150,7,121,22,Barbados,52.19733376,4.666666667
,,,Belarus,8/16/20 4:27,53.7098,27.9534,69308,603,66452,2253,Belarus,733.4706906,0.870029434
,,,Belgium,8/16/20 4:27,50.8333,4.469936,77869,9935,17981,49953,Belgium,671.8859365,12.7586074
,,,Belize,8/16/20 4:27,17.1899,-88.4976,388,3,35,350,Belize,97.58035919,0.773195876
,,,Benin,8/16/20 4:27,9.3077,2.3158,2063,39,1690,334,Benin,17.01696203,1.8904508
,,,Bhutan,8/16/20 4:27,27.5142,90.4336,133,0,102,31,Bhutan,17.23664225,0
,,,Bolivia,8/16/20 4:27,-16.2902,-63.5887,99146,4003,35638,59505,Bolivia,849.3596649,4.03748008
,,,Bosnia and Herzegovina,8/16/20 4:27,43.9159,17.6791,15801,471,9619,5711,Bosnia and Herzegovina,481.6181345,2.980823998
,,,Botswana,8/16/20 4:27,-22.3285,24.6849,1214,3,120,1091,Botswana,51.62387711,0.247116969
,,Acre,Brazil,8/16/20 4:27,-9.0238,-70.812,22516,576,15505,6435,"Acre, Brazil",2553.022615,2.558180849
,,Alagoas,Brazil,8/16/20 4:27,-9.5713,-36.782,72076,1742,65579,4755,"Alagoas, Brazil",2159.673059,2.416893279
,,Amapa,Brazil,8/16/20 4:27,0.902,-52.003,39431,613,27512,11306,"Amapa, Brazil",4662.35718,1.55461439
,,Amazonas,Brazil,8/16/20 4:27,-3.4168,-65.8561,111241,3463,93911,13867,"Amazonas, Brazil",2684.000399,3.113060832
,,Bahia,Brazil,8/16/20 4:27,-12.5797,-41.7007,214379,4338,194155,15886,"Bahia, Brazil",1441.39096,2.023519095
,,Ceara,Brazil,8/16/20 4:27,-5.4984,-39.3206,197381,8129,167053,22199,"Ceara, Brazil",2161.402914,4.118430852
,,Distrito Federal,Brazil,8/16/20 4:27,-15.7998,-47.8645,135014,1958,114355,18701,"Distrito Federal, Brazil",4477.678269,1.450219977
,,Espirito Santo,Brazil,8/16/20 4:27,-19.1834,-40.3089,98765,2864,84840,11061,"Espirito Santo, Brazil",2457.666132,2.899812687
,,Goias,Brazil,8/16/20 4:27,-15.827,-49.8362,100938,2286,91394,7258,"Goias, Brazil",1438.200467,2.264756583
,,Maranhao,Brazil,8/16/20 4:27,-4.9609,-45.2744,136280,3253,124036,8991,"Maranhao, Brazil",1926.169804,2.386997358
,,Mato Grosso,Brazil,8/16/20 4:27,-12.6819,-56.9211,72761,2319,50261,20181,"Mato Grosso, Brazil",2088.153536,3.187146961
,,Mato Grosso do Sul,Brazil,8/16/20 4:27,-20.7722,-54.7852,36542,598,29245,6699,"Mato Grosso do Sul, Brazil",1314.940054,1.636473099
,,Minas Gerais,Brazil,8/16/20 4:27,-18.5122,-44.555,171514,4044,139144,28326,"Minas Gerais, Brazil",810.2210466,2.357825017
,,Para,Brazil,8/16/20 4:27,-1.9981,-54.9306,177010,5932,162244,8834,"Para, Brazil",2057.570356,3.351223095
,,Paraiba,Brazil,8/16/20 4:27,-7.24,-36.782,95588,2138,52249,41201,"Paraiba, Brazil",2378.919332,2.236682429
,,Parana,Brazil,8/16/20 4:27,-25.2521,-52.0215,103771,2665,62333,38773,"Parana, Brazil",907.5685697,2.568154879
,,Pernambuco,Brazil,8/16/20 4:27,-8.8137,-36.9541,111773,7156,90623,13994,"Pernambuco, Brazil",1169.531962,6.402261727
,,Piaui,Brazil,8/16/20 4:27,-7.7183,-42.7289,65638,1594,63384,660,"Piaui, Brazil",2005.299357,2.428471312
,,Rio Grande do Norte,Brazil,8/16/20 4:27,-5.4026,-36.9541,57660,2062,34186,21412,"Rio Grande do Norte, Brazil",1644.20921,3.576135969
,,Rio Grande do Sul,Brazil,8/16/20 4:27,-30.0346,-51.2177,97445,2647,85872,8926,"Rio Grande do Sul, Brazil",856.4907532,2.716404125
,,Rio de Janeiro,Brazil,8/16/20 4:27,-22.9068,-43.1729,190614,14526,171123,4965,"Rio de Janeiro, Brazil",1104.052298,7.62063647
,,Rondonia,Brazil,8/16/20 4:27,-11.5057,-63.5806,47652,1012,39366,7274,"Rondonia, Brazil",2681.258704,2.123730379
,,Roraima,Brazil,8/16/20 4:27,-2.7376,-62.0751,39397,568,9393,29436,"Roraima, Brazil",6503.720114,1.441734142
,,Santa Catarina,Brazil,8/16/20 4:27,-27.2423,-50.2189,120001,1767,106856,11378,"Santa Catarina, Brazil",1674.871608,1.472487729
,,Sao Paulo,Brazil,8/16/20 4:27,-23.5505,-46.6333,697530,26780,473521,197229,"Sao Paulo, Brazil",1519.042783,3.839261394
,,Sergipe,Brazil,8/16/20 4:27,-10.5741,-37.3857,67701,1696,52842,13163,"Sergipe, Brazil",2945.191535,2.505132864
,,Tocantins,Brazil,8/16/20 4:27,-10.1753,-48.2982,36478,506,21896,14076,"Tocantins, Brazil",2319.205832,1.387137453
,,,Brunei,8/16/20 4:27,4.5353,114.7277,142,3,138,1,Brunei,32.4584041,2.112676056
,,,Bulgaria,8/16/20 4:27,42.7339,25.4858,14333,495,9161,4677,Bulgaria,206.2763683,3.453568688
,,,Burkina Faso,8/16/20 4:27,12.2383,-1.5616,1240,54,1006,180,Burkina Faso,5.932083954,4.35483871
,,,Burma,8/16/20 4:27,21.9162,95.956,374,6,324,44,Burma,0.687376247,1.604278075
,,,Burundi,8/16/20 4:27,-3.3731,29.9189,412,1,315,96,Burundi,3.464869128,0.242718447
,,,Cabo Verde,8/16/20 4:27,16.5388,-23.0418,3163,34,2302,827,Cabo Verde,568.8971704,1.074928865
,,,Cambodia,8/16/20 4:27,11.55,104.9167,273,0,238,35,Cambodia,1.632875612,0
,,,Cameroon,8/16/20 4:27,3.848,11.5021,18469,401,16540,1528,Cameroon,69.57392685,2.171205804
,,Alberta,Canada,8/16/20 4:27,53.9333,-116.5765,12053,221,10796,1036,"Alberta, Canada",273.1158226,1.833568406
,,British Columbia,Canada,8/16/20 4:27,53.7267,-127.6476,4358,196,3533,629,"British Columbia, Canada",85.26845574,4.497475906
,,Diamond Princess,Canada,8/16/20 4:27,,,0,1,0,,"Diamond Princess, Canada",,
,,Grand Princess,Canada,8/16/20 4:27,,,13,0,13,0,"Grand Princess, Canada",,0
,,Manitoba,Canada,8/16/20 4:27,53.7609,-98.8139,663,9,443,211,"Manitoba, Canada",48.13007752,1.357466063
,,New Brunswick,Canada,8/16/20 4:27,46.5653,-66.4619,184,2,169,13,"New Brunswick, Canada",23.58995529,1.086956522
,,Newfoundland and Labrador,Canada,8/16/20 4:27,53.1355,-57.6604,268,3,263,2,"Newfoundland and Labrador, Canada",51.40352728,1.119402985
,,Northwest Territories,Canada,8/16/20 4:27,64.8255,-124.8457,5,0,5,0,"Northwest Territories,Canada",11.13486549,0
,,Nova Scotia,Canada,8/16/20 4:27,44.682,-63.7443,1074,64,1007,3,"Nova Scotia, Canada",109.8769562,5.959031657
,,Ontario,Canada,8/16/20 4:27,51.2538,-85.3232,42501,2836,38588,1077,"Ontario, Canada",288.8900203,6.67278417
,,Prince Edward Island,Canada,8/16/20 4:27,46.5107,-63.4168,41,0,36,5,"Prince Edward Island, Canada",25.92344364,0
,,Quebec,Canada,8/16/20 4:27,52.9399,-73.5491,61084,5719,53709,1656,"Quebec, Canada",715.4641885,9.362517189
,,Saskatchewan,Canada,8/16/20 4:27,52.9399,-106.4509,1566,21,1356,189,"Saskatchewan, Canada",132.5247574,1.340996169
,,Yukon,Canada,8/16/20 4:27,64.2823,-135,15,0,15,0,"Yukon, Canada",36.51589659,0
,,,Central African Republic,8/16/20 4:27,6.6111,20.9394,4652,61,1728,2863,Central African Republic,96.31940608,1.311263972
,,,Chad,8/16/20 4:27,15.4542,18.7322,952,76,864,12,Chad,5.79573951,7.983193277
,,Antofagasta,Chile,8/16/20 4:27,-23.6509,-70.3975,16669,399,15215,1055,"Antofagasta, Chile",2743.714755,2.393664887
,,Araucania,Chile,8/16/20 4:27,-38.9489,-72.3311,4610,85,4248,277,"Araucania, Chile",481.6009628,1.843817787
,,Arica y Parinacota,Chile,8/16/20 4:27,-18.594,-69.4785,5692,82,4829,781,"Arica y Parinacota, Chile",2517.826495,1.440618412
,,Atacama,Chile,8/16/20 4:27,-27.5661,-70.0503,4447,26,3424,997,"Atacama, Chile",1539.05255,0.584663818
,,Aysen,Chile,8/16/20 4:27,-45.9864,-73.7669,96,1,85,10,"Aysen, Chile",93.06112953,1.041666667
,,Biobio,Chile,8/16/20 4:27,-37.4464,-72.1416,13841,156,12057,1628,"Biobio, Chile",889.0644622,1.127086193
,,Coquimbo,Chile,8/16/20 4:27,-29.959,-71.3389,8064,95,6975,994,"Coquimbo, Chile",1064.433609,1.178075397
,,Los Lagos,Chile,8/16/20 4:27,-41.9198,-72.1416,5418,56,4504,858,"Los Lagos, Chile",653.7887893,1.033591731
,,Los Rios,Chile,8/16/20 4:27,-40.231,-72.3311,1005,15,921,69,"Los Rios, Chile",261.1495256,1.492537313
,,Magallanes,Chile,8/16/20 4:27,-52.368,-70.9863,2250,30,1865,355,"Magallanes, Chile",1351.083569,1.333333333
,,Maule,Chile,8/16/20 4:27,-35.5183,-71.6885,10292,218,9239,835,"Maule, Chile",984.9275085,2.118150019
,,Metropolitana,Chile,8/16/20 4:27,-33.4376,-70.6505,265515,8074,252008,5433,"Metropolitana, Chile",3732.913921,3.040882813
,,Nuble,Chile,8/16/20 4:27,-36.7226,-71.7622,3950,73,3600,277,"Nuble, Chile",821.8739141,1.848101266
,,OHiggins,Chile,8/16/20 4:27,-34.5755,-71.0022,12097,299,10896,902,"OHiggins, Chile",1322.719793,2.471687195
,,Tarapaca,Chile,8/16/20 4:27,-19.9232,-69.5132,9825,185,9020,620,"Tarapaca, Chile",2972.246928,1.882951654
,,Unknown,Chile,8/16/20 4:27,,,62,1,61,0,"Unknown, Chile",,1.612903226
,,Valparaiso,Chile,8/16/20 4:27,-33.0472,-71.6127,20069,600,18004,1465,"Valparaiso, Chile",1105.180786,2.989685585
,,Anhui,China,8/16/20 4:27,31.8257,117.2264,991,6,985,0,"Anhui, China",1.567046173,0.605449041
,,Beijing,China,8/16/20 4:27,40.1824,116.4142,935,9,923,3,"Beijing, China",4.340761374,0.962566845
,,Chongqing,China,8/16/20 4:27,30.0572,107.874,583,6,577,0,"Chongqing, China",1.879432624,1.02915952
,,Fujian,China,8/16/20 4:27,26.0789,117.9874,369,1,365,3,"Fujian, China",0.936310581,0.27100271
,,Gansu,China,8/16/20 4:27,35.7518,104.2861,169,2,167,0,"Gansu, China",0.640879788,1.183431953
,,Guangdong,China,8/16/20 4:27,23.3417,113.4244,1712,8,1684,20,"Guangdong, China",1.508901816,0.46728972
,,Guangxi,China,8/16/20 4:27,23.8298,108.7881,255,2,253,0,"Guangxi, China",0.517661389,0.784313725
,,Guizhou,China,8/16/20 4:27,26.8154,106.8748,147,2,145,0,"Guizhou, China",0.408333333,1.360544218
,,Hainan,China,8/16/20 4:27,19.1959,109.7453,171,6,165,0,"Hainan, China",1.830835118,3.50877193
,,Hebei,China,8/16/20 4:27,37.8957,114.9042,351,6,343,2,"Hebei, China",0.464531498,1.709401709
,,Heilongjiang,China,8/16/20 4:27,47.862,127.7615,948,13,934,1,"Heilongjiang, China",2.512589451,1.371308017
,,Henan,China,8/16/20 4:27,33.882,113.614,1276,22,1254,0,"Henan, China",1.328474753,1.724137931
,,Hong Kong,China,8/16/20 4:27,22.3,114.2,4406,69,3488,849,"Hong Kong, China",58.77026881,1.5660463
,,Hubei,China,8/16/20 4:27,30.9756,112.2707,68139,4512,63625,2,"Hubei, China",115.1580193,6.621758464
,,Hunan,China,8/16/20 4:27,27.6104,111.7088,1019,4,1015,0,"Hunan, China",1.477025656,0.392541708
,,Inner Mongolia,China,8/16/20 4:27,44.0935,113.9448,260,1,256,3,"Inner Mongolia, China",1.026045777,0.384615385
,,Jiangsu,China,8/16/20 4:27,32.9711,119.455,661,0,655,6,"Jiangsu, China",0.821016023,0
,,Jiangxi,China,8/16/20 4:27,27.614,115.7221,932,1,931,0,"Jiangxi, China",2.005163511,0.107296137
,,Jilin,China,8/16/20 4:27,43.6661,126.1923,157,2,155,0,"Jilin, China",0.580621302,1.27388535
,,Liaoning,China,8/16/20 4:27,41.2956,122.6085,261,2,226,33,"Liaoning, China",0.598761184,0.766283525
,,Macau,China,8/16/20 4:27,22.1667,113.55,46,0,46,0,"Macau, China",7.08409436,0
,,Ningxia,China,8/16/20 4:27,37.2692,106.1655,75,0,75,0,"Ningxia, China",1.090116279,0
,,Qinghai,China,8/16/20 4:27,35.7452,95.9956,18,0,18,0,"Qinghai, China",0.298507463,0
,,Shaanxi,China,8/16/20 4:27,35.1917,108.8701,351,3,324,24,"Shaanxi, China",0.908385093,0.854700855
,,Shandong,China,8/16/20 4:27,36.3427,118.1498,821,7,790,24,"Shandong, China",0.817159351,0.852618758
,,Shanghai,China,8/16/20 4:27,31.202,121.4491,825,7,745,73,"Shanghai, China",3.403465347,0.848484848
,,Shanxi,China,8/16/20 4:27,37.5777,112.2922,201,0,201,0,"Shanxi, China",0.540613233,0
,,Sichuan,China,8/16/20 4:27,30.6171,102.7103,624,3,606,15,"Sichuan, China",0.748111737,0.480769231
,,Tianjin,China,8/16/20 4:27,39.3054,117.323,207,3,202,2,"Tianjin, China",1.326923077,1.449275362
,,Tibet,China,8/16/20 4:27,31.6927,88.0924,1,0,1,0,"Tibet, China",0.029069767,0
,,Xinjiang,China,8/16/20 4:27,41.1129,85.2401,902,3,498,401,"Xinjiang, China",3.62685967,0.332594235
,,Yunnan,China,8/16/20 4:27,24.974,101.487,191,2,188,1,"Yunnan, China",0.395445135,1.047120419
,,Zhejiang,China,8/16/20 4:27,29.1832,120.0934,1275,1,1268,6,"Zhejiang, China",2.222415897,0.078431373
,,Amazonas,Colombia,8/16/20 4:27,-1.4429,-71.5724,2654,107,2404,143,"Amazonas, Colombia",3465.249579,4.031650339
,,Antioquia,Colombia,8/16/20 4:27,7.1986,-75.3412,60873,1121,32702,27050,"Antioquia, Colombia",950.0863261,1.841538942
,,Arauca,Colombia,8/16/20 4:27,7.0762,-70.7105,560,10,225,325,"Arauca, Colombia",213.5986025,1.785714286
,,Atlantico,Colombia,8/16/20 4:27,10.6966,-74.8741,60542,2756,49508,8278,"Atlantico, Colombia",2387.757605,4.552211688
,,Bolivar,Colombia,8/16/20 4:27,8.6704,-74.03,21593,644,17697,3252,"Bolivar, Colombia",1043.084667,2.982448016
,,Boyaca,Colombia,8/16/20 4:27,5.4545,-73.362,2063,52,875,1136,"Boyaca, Colombia",169.4628447,2.520601066
,,Caldas,Colombia,8/16/20 4:27,5.2983,-75.2479,1599,24,721,854,"Caldas, Colombia",160.1795133,1.500938086
,,Capital District,Colombia,8/16/20 4:27,4.711,-74.0721,158674,4269,87444,66961,"Capital District, Colombia",2140.608259,2.690421871
,,Caqueta,Colombia,8/16/20 4:27,0.8699,-73.8419,3511,100,1307,2104,"Caqueta, Colombia",874.4946935,2.848191398
,,Casanare,Colombia,8/16/20 4:27,5.7589,-71.5724,613,12,266,335,"Casanare, Colombia",145.777448,1.957585644
,,Cauca,Colombia,8/16/20 4:27,2.705,-76.826,3222,112,1732,1378,"Cauca, Colombia",220.008631,3.4761018
,,Cesar,Colombia,8/16/20 4:27,9.3373,-73.6536,5452,117,2748,2587,"Cesar, Colombia",454.1161145,2.146001467
,,Choco,Colombia,8/16/20 4:27,5.2528,-76.826,3439,123,2768,548,"Choco, Colombia",643.0128677,3.576621111
,,Cordoba,Colombia,8/16/20 4:27,8.0493,-75.574,13231,936,6227,6068,"Cordoba, Colombia",741.3226146,7.074295216
,,Cundinamarca,Colombia,8/16/20 4:27,5.026,-74.03,14572,413,8295,5864,"Cundinamarca, Colombia",499.2017978,2.83420258
,,Guainia,Colombia,8/16/20 4:27,2.5854,-68.5247,14,1,13,0,"Guainia, Colombia",29.09755996,7.142857143
,,Guaviare,Colombia,8/16/20 4:27,1.0654,-73.2603,193,0,97,96,"Guaviare, Colombia",233.1847234,0
,,Huila,Colombia,8/16/20 4:27,2.5359,-75.5277,2343,60,875,1408,"Huila, Colombia",212.9252826,2.560819462
,,La Guajira,Colombia,8/16/20 4:27,11.3548,-72.5205,3379,166,2043,1170,"La Guajira, Colombia",383.7330789,4.912696064
,,Magdalena,Colombia,8/16/20 4:27,10.4113,-74.4057,9915,498,6037,3380,"Magdalena, Colombia",738.962516,5.02269289
,,Meta,Colombia,8/16/20 4:27,3.272,-73.0877,5014,88,2818,2108,"Meta, Colombia",482.2442922,1.75508576
,,Narino,Colombia,8/16/20 4:27,1.2892,-77.3579,11273,400,7105,3768,"Narino, Colombia",691.3440027,3.548301251
,,Norte de Santander,Colombia,8/16/20 4:27,7.9463,-72.8988,6500,368,2800,3332,"Norte de Santander, Colombia",435.7476659,5.661538462
,,Putumayo,Colombia,8/16/20 4:27,0.436,-75.5277,1884,89,792,1003,"Putumayo, Colombia",541.0963232,4.723991507
,,Quindio,Colombia,8/16/20 4:27,4.461,-75.6674,649,18,310,321,"Quindio, Colombia",120.2065552,2.773497689
,,Risaralda,Colombia,8/16/20 4:27,5.3158,-75.9928,3475,62,1410,2003,"Risaralda, Colombia",368.3481362,1.784172662
,,San Andres y Providencia,Colombia,8/16/20 4:27,12.5567,-81.7185,82,0,38,44,"San Andres y Providencia, Colombia",133.8120104,0
,,Santander,Colombia,8/16/20 4:27,6.6437,-73.6536,9608,378,3417,5813,"Santander, Colombia",439.7582062,3.934221482
,,Sucre,Colombia,8/16/20 4:27,8.814,-74.7233,8443,413,5512,2518,"Sucre, Colombia",933.069426,4.891626199
,,Tolima,Colombia,8/16/20 4:27,4.0925,-75.1545,4327,98,2263,1966,"Tolima, Colombia",325.2926092,2.264848625
,,Valle del Cauca,Colombia,8/16/20 4:27,3.8009,-76.6413,36847,1374,23906,11567,"Valle del Cauca, Colombia",823.233657,3.728933156
,,Vaupes,Colombia,8/16/20 4:27,0.8554,-70.812,139,1,60,78,"Vaupes, Colombia",340.7113268,0.71942446
,,Vichada,Colombia,8/16/20 4:27,4.4234,-69.2878,6,0,5,1,"Vichada, Colombia",5.565449688,0
,,,Comoros,8/16/20 4:27,-11.6455,43.3333,403,7,379,17,Comoros,46.34341274,1.736972705
,,,Congo (Brazzaville),8/16/20 4:27,-0.228,15.8277,3745,60,1625,2060,Congo (Brazzaville),67.8676615,1.602136182
,,,Congo (Kinshasa),8/16/20 4:27,-4.0383,21.7587,9638,239,8597,802,Congo (Kinshasa),10.76133197,2.479767587
,,,Costa Rica,8/16/20 4:27,9.7489,-83.7534,27737,291,9010,18436,Costa Rica,544.4911519,1.049140138
,,,Cote d'Ivoire,8/16/20 4:27,7.54,-5.5471,16993,108,13759,3126,Cote d'Ivoire,64.42043689,0.635555817
,,,Croatia,8/16/20 4:27,45.1,15.2,6420,165,5193,1062,Croatia,156.3844309,2.570093458
,,,Cuba,8/16/20 4:27,21.521757,-77.781167,3292,88,2568,636,Cuba,29.0642854,2.673147023
,,,Cyprus,8/16/20 4:27,35.1264,33.4299,1332,20,870,442,Cyprus,110.3232587,1.501501502
,,,Czechia,8/16/20 4:27,49.8175,15.473,19891,395,13763,5733,Czechia,185.7412777,1.985822734
,,Faroe Islands,Denmark,8/16/20 4:27,61.8926,-6.9118,370,0,225,145,"Faroe Islands, Denmark",757.1881715,0
,,Greenland,Denmark,8/16/20 4:27,71.7069,-42.6043,14,0,14,0,"Greenland, Denmark",24.66004368,0
,,,Denmark,8/16/20 4:27,56.2639,9.5018,15483,621,13275,1587,Denmark,267.3076203,4.01085061
,,,Diamond Princess,8/16/20 4:27,,,712,13,651,48,Diamond Princess,,1.825842697
,,,Djibouti,8/16/20 4:27,11.8251,42.5903,5367,59,5181,127,Djibouti,543.2175239,1.099310602
,,,Dominica,8/16/20 4:27,15.415,-61.371,18,0,18,0,Dominica,25.00312539,0
,,,Dominican Republic,8/16/20 4:27,18.7357,-70.1627,85545,1438,51356,32751,Dominican Republic,788.5855185,1.680986615
,,,Ecuador,8/16/20 4:27,-1.8312,-78.1834,100688,6065,79354,15269,Ecuador,570.6946527,6.023557922
,,,Egypt,8/16/20 4:27,26.820553,30.802498,96336,5141,58835,32360,Egypt,94.13842967,5.336530477
,,,El Salvador,8/16/20 4:27,13.7942,-88.8965,22619,603,10618,11398,El Salvador,348.7249316,2.665900349
,,,Equatorial Guinea,8/16/20 4:27,1.6508,10.2679,4821,83,2182,2556,Equatorial Guinea,343.6244864,1.721634516
,,,Eritrea,8/16/20 4:27,15.1794,39.7823,285,0,248,37,Eritrea,8.036257337,0
,,,Estonia,8/16/20 4:27,58.5953,25.0136,2184,63,1976,145,Estonia,164.638959,2.884615385
,,,Eswatini,8/16/20 4:27,-26.5225,31.4659,3745,69,2268,1408,Eswatini,322.7991905,1.842456609
,,,Ethiopia,8/16/20 4:27,9.145,40.4897,28894,509,12037,16348,Ethiopia,25.1331763,1.761611407
,,,Fiji,8/16/20 4:27,-17.7134,178.065,28,1,20,7,Fiji,3.123452218,3.571428571
,,,Finland,8/16/20 4:27,61.92411,25.748151,7720,333,7050,337,Finland,139.3321227,4.313471503
,,French Guiana,France,8/16/20 4:27,4,-53,8588,53,7893,642,"French Guiana, France",2875.298813,0.617140196
,,French Polynesia,France,8/16/20 4:27,-17.6797,-149.4068,166,0,64,102,"French Polynesia, France",59.09492211,0
,,Guadeloupe,France,8/16/20 4:27,16.265,-61.551,446,14,289,143,"Guadeloupe, France",111.46461,3.139013453
,,Martinique,France,8/16/20 4:27,14.6415,-61.0242,336,16,98,222,"Martinique, France",89.53672738,4.761904762
,,Mayotte,France,8/16/20 4:27,-12.8275,45.166244,3119,39,2940,140,"Mayotte, France",1143.273964,1.250400769
,,New Caledonia,France,8/16/20 4:27,-20.904305,165.618042,23,0,22,1,"New Caledonia, France",8.056295995,0
,,Reunion,France,8/16/20 4:27,-21.1151,55.5364,816,5,657,154,"Reunion, France",91.14181935,0.612745098
,,Saint Barthelemy,France,8/16/20 4:27,17.9,-62.8333,13,0,9,4,"Saint Barthelemy, France",131.5123925,0
,,Saint Pierre and Miquelon,France,8/16/20 4:27,46.8852,-56.3159,4,0,1,3,"Saint Pierre and Miquelon, France",69.02502157,0
,,St Martin,France,8/16/20 4:27,18.0708,-63.0501,109,4,49,56,"St Martin, France",281.9524561,3.669724771
,,,France,8/16/20 4:27,46.2276,2.2137,239345,30279,71971,137095,France,366.6801321,12.65077608
,,,Gabon,8/16/20 4:27,-0.8037,11.6094,8225,51,6277,1897,Gabon,369.5420105,0.62006079
,,,Gambia,8/16/20 4:27,13.4432,-15.3101,1689,54,347,1288,Gambia,69.88973229,3.197158082
,,,Georgia,8/16/20 4:27,42.3154,43.3569,1321,17,1088,216,Georgia,33.11461643,1.286903861
,,Baden-Wurttemberg,Germany,8/16/20 4:27,48.6616,9.3501,38425,1859,35400,1166,"Baden-Wurttemberg, Germany",347.1239482,4.837996096
,,Bayern,Germany,8/16/20 4:27,48.7904,11.4979,52873,2631,48436,1806,"Bayern, Germany",404.3291893,4.976074745
,,Berlin,Germany,8/16/20 4:27,52.52,13.405,10237,224,9239,774,"Berlin, Germany",280.8638876,2.188141057
,,Brandenburg,Germany,8/16/20 4:27,52.4125,12.5316,3726,173,3410,143,"Brandenburg, Germany",148.3329266,4.643048846
,,Bremen,Germany,8/16/20 4:27,53.0793,8.8017,1838,56,1721,61,"Bremen, Germany",269.1123976,3.046789989
,,Hamburg,Germany,8/16/20 4:27,53.5511,9.9937,5877,264,5100,513,"Hamburg, Germany",319.1976446,4.4920878
,,Hessen,Germany,8/16/20 4:27,50.6521,9.1624,13390,526,11700,1164,"Hessen, Germany",213.69946,3.928304705
