County Name,State FIPS,County Code,County FIPS,ZIP Code,File Date
Albany,36,1,36001,12046,7/25/07
Albany,36,1,36001,12083,7/25/07
Albany,36,1,36001,12085,7/25/07
Albany,36,1,36001,12201,7/25/07
Albany,36,1,36001,12203,7/25/07
Albany,36,1,36001,12055,7/25/07
Albany,36,1,36001,12204,7/25/07
Albany,36,1,36001,12023,7/25/07
Albany,36,1,36001,12087,7/25/07
Albany,36,1,36001,12205,7/25/07
Albany,36,1,36001,12110,7/25/07
Albany,36,1,36001,12009,7/25/07
Albany,36,1,36001,12202,7/25/07
Albany,36,1,36001,12189,7/25/07
Albany,36,1,36001,12053,7/25/07
Albany,36,1,36001,12159,7/25/07
Albany,36,1,36001,12054,7/25/07
Albany,36,1,36001,12084,7/25/07
Albany,36,1,36001,12045,7/25/07
Albany,36,1,36001,12229,7/25/07
Albany,36,1,36001,12230,7/25/07
Albany,36,1,36001,12243,7/25/07
Albany,36,1,36001,12248,7/25/07
Albany,36,1,36001,12239,7/25/07
Albany,36,1,36001,12227,7/25/07
Albany,36,1,36001,12238,7/25/07
Albany,36,1,36001,12208,7/25/07
Albany,36,1,36001,12222,7/25/07
Albany,36,1,36001,12245,7/25/07
Albany,36,1,36001,12246,7/25/07
Albany,36,1,36001,12240,7/25/07
Albany,36,1,36001,12233,7/25/07
Albany,36,1,36001,12210,7/25/07
Albany,36,1,36001,12241,7/25/07
Albany,36,1,36001,12236,7/25/07
Albany,36,1,36001,12224,7/25/07
Albany,36,1,36001,12469,7/25/07
Albany,36,1,36001,12306,7/25/07
Albany,36,1,36001,12309,7/25/07
Allegany,36,3,36003,14737,7/25/07
Allegany,36,3,36003,14770,7/25/07
Allegany,36,3,36003,14774,7/25/07
Allegany,36,3,36003,14437,7/25/07
Albany,36,1,36001,12261,7/25/07
Allegany,36,3,36003,14708,7/25/07
Albany,36,1,36001,12255,7/25/07
Albany,36,1,36001,12257,7/25/07
Allegany,36,3,36003,14060,7/25/07
Allegany,36,3,36003,14065,7/25/07
Albany,36,1,36001,12460,7/25/07
Allegany,36,3,36003,14744,7/25/07
Allegany,36,3,36003,14711,7/25/07
Albany,36,1,36001,12304,7/25/07
Albany,36,1,36001,12288,7/25/07
Allegany,36,3,36003,14029,7/25/07
Allegany,36,3,36003,14786,7/25/07
Allegany,36,3,36003,14880,7/25/07
Allegany,36,3,36003,14895,7/25/07
Allegany,36,3,36003,14822,7/25/07
Bronx,36,5,36005,10472,7/25/07
Bronx,36,5,36005,10463,7/25/07
Bronx,36,5,36005,10468,7/25/07
Bronx,36,5,36005,10457,7/25/07
Allegany,36,3,36003,14804,7/25/07
Bronx,36,5,36005,10467,7/25/07
Allegany,36,3,36003,14807,7/25/07
Allegany,36,3,36003,14897,7/25/07
Allegany,36,3,36003,14802,7/25/07
Bronx,36,5,36005,10462,7/25/07
Bronx,36,5,36005,10456,7/25/07
Bronx,36,5,36005,10469,7/25/07
Bronx,36,5,36005,10453,7/25/07
Bronx,36,5,36005,10454,7/25/07
Bronx,36,5,36005,10464,7/25/07
Allegany,36,3,36003,14813,7/25/07
Broome,36,7,36007,13744,7/25/07
Broome,36,7,36007,13790,7/25/07
Broome,36,7,36007,13745,7/25/07
Bronx,36,5,36005,10474,7/25/07
Broome,36,7,36007,13777,7/25/07
Broome,36,7,36007,13746,7/25/07
